Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
8,-2.57,14.41,2.04,104.4,191.1,8.17,1230,21.5,91.9,15,0,-1.46,3.91,14.41,0.594,0.501,-1,-0.78,0.3,-0.9,6.24,0
9,-2.61,14.41,2.04,104.4,191.1,7.52,1281,21.9,89.9,15,0,-1.22,3.12,14.41,0.575,0.493,-1,-0.78,2.4,0,6.55,0
11,-3,14.41,1.8,104.4,191.1,6.66,1346,21.9,85.3,15,0,-1.29,2.34,14.41,0.542,0.194,-1,-1.56,9.7,0.2,3.45,0
12,-3.46,14.41,1.8,104.4,191.1,6.59,1457,19.5,70.4,15,0,23.4,2.34,14.41,0.542,0.287,-1,-2.34,15.4,-0.1,0,0
16,-4.97,14.41,1.46,104.4,191.1,1.54,1511,13.9,48.5,1,0,26.29,2.34,14.41,0.414,0.363,-1,-3.12,17.8,-0.1,7.64,0
18,-6.02,14.26,1.5,104.4,191.1,3.75,1463,12.7,45.7,1,0,30.59,2.34,14.26,0.414,0.451,-1,-3.91,21.2,-0.1,3.06,0
18,-5.58,14.26,1.5,104.4,191.1,7.8,1418,16,59.2,1,0,31.45,2.34,14.26,0.375,0.459,-1,-3.91,23.4,0,6.38,0
19,-4.32,14.26,1.83,104.4,191.1,8.85,1422,18.3,67.7,1,0,28.82,2.34,14.26,0.375,0.481,-1,-3.91,25.8,0,12.59,0
20,-3.66,14.41,1.83,104.4,191.1,8.51,1478,19.8,70.5,1,0,28.82,2.34,14.41,0.464,0.542,-1,-3.12,27.4,-0.1,39.55,0
22,-3.5,14.55,1.9,104.4,191.1,9.04,1525,21.9,75.3,1,0,17.5,2.34,14.55,0.464,0.59,-1,-2.34,28.9,-0.1,56.73,0
26,-2.56,14.55,1.9,104.4,191.1,11.86,1564,26.2,87.9,1,0,6.82,3.12,14.55,0.494,0.63,-1,-2.34,29.8,0,70.61,0
27,-1.58,14.41,2.52,104.4,191.1,15.24,1619,29.7,96.4,1,0,1.46,3.12,14.41,0.613,0.64,-1,-2.34,31.1,-0.1,73.46,0
28,-0.1,14.55,2.52,104.4,191.1,18.39,1662,32.3,101.9,1,0,0.3,4.69,14.55,0.613,0.641,-1,-2.34,30.9,0,75.19,0
28,0.25,14.55,2.76,104.4,191.1,20.02,1691,33.5,104,1,0,11.53,4.69,14.55,0.642,0.643,-1,-2.34,28.6,-0.1,71,0
28,0.22,14.55,2.76,104.4,191.1,17.97,1713,33.5,102.6,1,0,21.77,4.69,14.55,0.642,0.645,-1,-2.34,23.1,-0.2,69.29,0
28,-0.06,14.85,2.9,104.4,191.3,15.93,1725,33.5,102.2,1,0,22.44,5.47,14.7,0.639,0.645,-1,-1.56,17.2,-0.9,67.42,0
28,-0.64,15.43,2.96,104.4,191.3,14.08,1743,33.5,101.1,1,0,22.59,5.47,15.14,0.639,0.646,-1,0,14.4,-1.9,68.89,0
28,-0.8,15.58,2.96,104.4,191.3,14.06,1810,35.1,101.7,1,0,13.65,5.47,15.73,0.641,0.647,-1,2.34,11.2,-2.4,67.43,0
28,-0.88,15.73,3.1,104.4,191.3,13.99,1861,36.2,102.2,1,0,11.04,5.47,15.73,0.641,0.65,-1,3.12,8.9,-2.8,68.94,0
28,-0.9,15.43,3.1,104.4,191.3,14.28,1924,37.9,103.5,1,0,21.64,5.47,15.43,0.652,0.652,-1,2.34,1.1,-3.1,66.33,0
28,-1.13,14.99,3.27,104.4,191.3,13.13,1956,38,101.9,1,0,22.96,5.47,14.99,0.652,0.653,-1,1.56,-0.1,-4.1,68.71,0
28,-1.3,14.85,3.27,104.4,191.3,13.5,1994,38.6,101.6,1,0,23.68,5.47,14.99,0.651,0.653,-1,0.78,-0.1,-4.9,67.82,0
28,-1.25,14.7,3.46,104.4,191.3,13.54,2028,39.3,101.7,1,0,23.69,5.47,14.7,0.655,0.654,-1,0.78,-0.1,-5.8,68.35,0
28,-1.26,14.55,3.46,104.4,191.3,13.54,2070,39.9,101.3,1,0,23.78,5.47,14.55,0.655,0.656,-1,0.78,0,-6.2,67.87,0
28,-1.3,14.41,3.55,104.4,191.3,13.54,2109,40.5,100.8,1,0,23.96,5.47,14.41,0.655,0.659,-1,0,-0.1,-6.4,68.05,0
28,-1.34,14.41,3.67,104.4,191.3,13.58,2173,41.5,100.2,1,0,24.09,5.47,14.41,0.655,0.66,-1,0,-0.2,-6.9,67.76,0
28,-1.39,14.41,3.67,104.4,191.3,13.63,2210,42,99.9,1,0,24.24,5.47,14.41,0.653,0.663,-1,0,0,-7.6,68.58,0
