Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
100,17.98,12.2,21.53,104.9,191.3,82.04,4257,168.4,207.8,2,2.8,8.87,3.91,12.2,1.956,1.936,-1,3.91,17.2,-34.3,54.36,0
100,17.8,12.2,21.53,104.9,191.3,82.04,4313,168.7,205.5,2,2.8,8.61,3.91,12.2,1.941,1.888,-1,3.91,16.2,-33.8,53.69,0
100,17.52,12.2,21.92,104.9,191.3,82.04,4368,169.3,203.6,2,2.8,7.62,3.91,12.05,1.941,1.837,-1,3.91,15.7,-33,53.19,0
100,17.22,12.05,21.92,105.1,191.3,71.05,4378,168.1,201.6,2,2.8,7.35,3.91,12.05,1.904,1.81,-1,3.91,14.8,-32.6,52.4,0
100,16.71,12.05,21.94,104.9,191.3,53.63,4415,167.5,199.2,2,2.8,7.63,3.91,12.05,1.863,1.804,-1,3.91,13.9,-31.7,50.99,0
100,16.33,12.05,21.94,104.9,191.3,46.68,4434,166,196.6,2,2.8,8.81,3.91,12.05,1.863,1.812,-1,3.91,13.4,-31.4,50.7,0
100,15.9,12.05,21.51,104.9,191.3,42.98,4455,165.6,195.2,2,2.8,9.58,3.91,12.05,1.81,1.856,-1,3.12,13.1,-31.2,50.81,0
100,15.71,12.05,21.78,104.9,191.3,43.28,4476,166.8,195.7,2,3,9.85,3.91,11.91,1.81,1.921,-1,3.12,12.6,-30.9,52.18,0
100,15.91,11.91,21.78,104.9,191.3,63.59,4552,168.1,193.9,2,3,9.93,3.91,11.91,1.813,1.99,-1,3.12,12.5,-30.9,58.14,0
100,15.54,12.05,21.71,104.9,191.3,80.77,4603,168.9,192.7,2,3.2,10.42,3.91,12.05,1.813,2.038,-1,2.34,12.2,-30.6,61,0
100,15.62,12.05,21.71,104.9,191.1,82.14,4653,171,193,2,3.2,10.42,3.91,12.05,1.789,2.119,-1,3.12,11.5,-30.1,65.25,0
100,15.75,11.91,22.33,104.9,191.1,82.08,4723,173.7,193.1,2,3.4,10.61,3.91,12.05,1.789,2.183,-1,3.12,10.8,-29.6,69.04,0
100,16.11,11.91,22.33,104.9,191.1,82.06,4783,175.5,192.7,2,3.4,10.75,3.91,11.91,1.797,2.275,-1,2.34,10.3,-28.8,71.71,0
100,16.42,11.91,23.12,104.9,191.1,82.05,4829,177.3,192.8,2,3.51,10.79,3.91,11.91,1.818,2.367,-1,2.34,9.7,-28.3,73.91,0
100,16.71,12.05,23.12,104.9,191.1,82.05,4888,178.7,192,2,3.51,10.84,3.91,12.05,1.818,2.476,-1,2.34,9.1,-27.7,77.54,0
100,16.98,12.05,23.67,104.9,191.1,82.05,4975,180.2,190.3,2,3.48,10.97,3.91,12.05,1.823,2.565,-1,2.34,8.7,-27.2,80.71,0
100,16.97,12.2,23.67,104.9,191.1,82.05,5024,179,187.1,2,3.48,11.02,3.91,12.2,1.823,2.661,-1,2.34,6.6,-26.7,84.31,0
100,16.95,12.05,23.99,104.9,191.1,82.05,5080,182.3,188.4,2,3.48,11.07,3.91,12.2,1.804,2.725,-1,2.34,-0.1,-26,85.93,0
100,16.91,12.05,24.71,104.9,191.1,82.05,5139,180.7,184.7,2,3.42,11.11,3.91,12.2,1.804,2.834,-1,2.34,-0.6,-25.2,90.36,0
100,16.78,12.05,24.71,104.9,191.1,82.05,5214,180.4,181.7,2,3.37,11.19,3.91,12.05,1.813,2.942,-1,2.34,-0.6,-24.8,92.37,0
100,16.49,12.05,24.77,104.9,191.1,82.05,5258,179.1,178.9,2,3.37,11.43,3.91,12.05,1.813,3,-1,2.34,-0.8,-24.1,96.37,0
100,16.3,11.91,24.77,104.9,191.1,82.05,5296,179.5,178,2,3.36,11.57,3.91,12.05,1.779,3,-1,2.34,-0.6,-23.6,96.68,0
100,16.15,12.05,24.94,104.9,191.1,82.05,5352,179.9,176.6,2,3.36,11.72,3.91,12.05,1.779,3,-1,2.34,-0.7,-23,97.14,0
100,16.02,12.05,24.94,104.9,191.1,82.05,5441,180,173.7,2,3.25,11.92,3.91,11.91,1.757,3,-1,1.56,-0.6,-22.4,99.7,0
100,15.77,12.05,24.99,104.9,191.1,82.05,5461,179.2,172.4,2,3.25,12.11,3.91,12.05,1.73,3,-1,1.56,-0.8,-21.8,100,0
100,15.62,11.91,24.99,104.9,191.1,82.05,5520,180.5,171.8,2,3.1,12.41,3.91,12.05,1.73,3,-1,1.56,-0.7,-21.4,100,0
100,15.42,12.05,25.15,104.9,191.1,82.05,5568,179.8,169.6,2,3.1,12.54,3.91,12.05,1.708,3,-1,1.56,-0.8,-20.8,100,0
100,15.25,11.91,25.31,104.9,191.1,82.11,5636,180.9,168.6,2,2.87,12.7,3.91,11.91,1.708,3,-1,1.56,-0.8,-20.4,100,0
100,15.07,12.05,25.31,104.9,190.9,82.11,5663,180.5,167.4,2,2.67,12.81,3.91,12.05,1.691,3,-1,1.56,-0.9,-19.8,100,0
100,14.97,11.91,25.42,104.9,190.9,82.05,5720,181.2,166.3,2,2.67,12.96,3.91,12.05,1.691,3,-1,1.56,-0.8,-19.2,100,0
100,14.79,11.91,25.42,105.1,190.9,82.03,5786,181.3,164.5,2,2.47,13.1,3.91,11.91,1.671,3,-1,0.78,-0.8,-18.7,100,0
100,14.62,11.91,25.47,105.1,190.9,82.03,5830,181.5,163.4,2,2.47,13.27,3.91,11.91,1.671,3,-1,0.78,-0.9,-18.2,100,0
100,14.43,11.91,25.47,104.9,190.9,82.02,5864,181.7,162.8,2,2.27,13.39,3.91,11.91,1.649,3,-1,0.78,-0.9,-17.6,100,0
100,14.25,12.05,25.58,105.1,190.9,82.08,5918,182.9,162.3,2,2.27,13.54,3.91,12.05,1.63,3,-1,0.78,-0.9,-17.2,100,0
100,14.11,11.91,25.58,105.1,190.9,82.08,5957,183.1,161.4,2,2.01,13.64,3.91,11.91,1.63,3,-1,0.78,-0.9,-16.7,100,0
100,14.01,11.91,25.75,105.1,190.9,82.03,6001,182.9,160.1,2,2.01,13.75,3.91,11.91,1.619,3,-1,0.78,-0.9,-16.2,100,0
100,13.81,11.91,25.75,105.1,190.9,82.01,6047,183.2,159.1,2,1.77,13.97,3.91,11.91,1.619,3,-1,0,-0.9,-15.8,100,0
100,13.71,11.91,25.87,105.1,190.9,82.01,6093,183.5,158.2,2,1.57,14.03,3.91,11.91,1.601,3,-1,0.78,-0.9,-15.3,100,0
100,13.57,12.05,25.88,105.1,190.9,82.06,6146,183.2,156.5,2,1.57,14.1,3.91,12.05,1.601,3,-1,0.78,-0.8,-14.8,100,0
100,13.41,12.05,25.88,105.1,190.8,82.01,6197,183,155.1,2,1.35,14.14,3.91,12.05,1.581,3,-1,0.78,-0.8,-14.5,100,0
100,13.33,11.91,26.08,105.1,190.8,82.07,6219,182.6,154.2,2,1.35,14.18,3.91,11.91,1.581,3,-1,0,-0.8,-14,100,0
100,13.27,11.91,26.08,105.1,190.8,82.07,6260,182.6,153.2,2,1.35,14.21,3.91,11.91,1.569,3,-1,0,-0.8,-13.3,100,0
100,13.15,11.91,26.11,105.1,190.8,82.02,6321,182.7,151.8,2,1.35,14.26,3.91,11.91,1.569,3,-1,0,-0.8,-12.9,100,0
100,13.06,11.91,26.11,105.1,190.8,82.02,6356,182.4,150.7,2,1.39,14.32,3.91,11.91,1.555,3,-1,0,-0.8,-12.6,100,0
100,13,11.91,26.35,105.1,190.8,82.02,6384,182.5,150.1,2,1.39,14.35,3.91,11.91,1.547,3,-1,0,-0.8,-11.9,100,0
92,12.93,11.91,26.35,105.1,190.8,82.02,6414,182.7,149.6,2,1.42,14.4,3.91,11.91,1.547,2.267,-1,-0.78,-0.8,-11.7,100,0
45,12.84,11.91,26.55,105.1,190.8,82.09,6460,182.6,148.4,2,1.42,14.42,3.91,11.91,1.539,0.252,-1,-0.78,-0.9,-11.4,100,0
0,12.58,11.91,25.04,105.1,190.8,79.81,6488,178.1,144.2,2,1.44,-4.31,3.91,11.91,1.539,0.395,-1,-1.56,-0.7,-9.4,0,0
0,7.96,11.76,25.04,105.1,190.8,22.08,6582,69.1,55.2,15,1.44,-3.29,3.91,12.05,1.443,0.273,-1,-2.34,-0.8,-5.5,0,0
0,-1.77,11.61,5.59,105.1,190.8,12.66,6558,10,8,15,1.44,-0.31,3.91,11.76,1.443,0.14,-1,-3.91,-1.2,-1.8,0,0
0,-8.11,12.79,5.59,105.3,190.6,7.24,6487,-17,-13.8,15,0,11.88,4.69,12.94,0.318,0.166,-1,-3.12,-1.1,-1.1,0,0
0,-10.67,13.52,2.83,105.3,190.6,6.09,6404,-14.5,-11.9,15,0,19.37,4.69,13.52,0.318,0.175,-1,-1.56,-1.2,-1.1,0,0
0,-10.55,15.58,2.83,105.3,190.6,7.89,6321,-9.8,-8.1,15,0,20.1,4.69,15.29,0.16,0.175,-1,0,-1.1,-1.1,0,0
0,-10.28,27.05,3.41,105.3,190.6,8.52,6222,-8.5,-7.2,15,0,17.27,4.69,20.14,0.197,0.176,-1,0,-0.9,-1.1,0,0
0,-10.21,34.69,3.41,105.3,190.6,8.78,6145,-7.3,-6.2,15,0,14.97,5.47,31.75,0.197,0.183,-1,0,-1,-1.2,0,0
0,-10.18,37.04,3.38,105.3,190.6,9.09,6045,-6.9,-6,15,0,14.94,5.47,37.63,0.2,0.183,-1,0,-1.1,-1,0,0
0,-10.12,39.98,3.38,105.3,190.6,9.29,5963,-6.2,-5.4,15,0,14.57,5.47,40.42,0.2,0.183,-1,0,-1,-0.9,0,0
0,-10.12,41.16,3.25,105.3,190.6,9.29,5862,-5.9,-5.2,15,0,14.71,5.47,41.31,0.198,0.184,-1,0,-0.9,-1,0,0
0,-10.1,41.6,3.1,105.3,190.6,9.35,5780,-5.5,-5,15,0,14.9,5.47,41.75,0.198,0.184,-1,0,-1,-1.1,0,0
0,-10.14,42.19,3.1,105.3,190.4,9.19,5691,-5.5,-5.1,15,0,15.42,5.47,42.04,0.194,0.185,-1,0,-1,-0.9,0,0
0,-10.16,42.63,2.96,105.3,190.4,9.27,5614,-5,-4.6,15,0,43.03,5.47,42.48,0.194,0.312,-1,0,-1.2,-0.9,0,0
12,-10.08,42.78,2.96,105.1,190.4,9.85,5617,5.7,5.3,15,0,41.73,5.47,42.63,0.19,1.072,-1,0,-0.9,-0.9,79.51,0
36,-7.06,35.57,10.82,105.1,190.4,23.54,5726,108.1,99.2,15,0,30.61,5.47,34.25,0.19,1.551,-1,0,-0.9,-0.9,100,0
54,-0.29,23.81,10.82,105.1,190.4,67.12,5817,108.4,97.9,15,0,26.86,3.91,24.25,0.715,1.838,-1,0,-0.9,-0.9,100,0
70,1.66,18.38,12.33,104.9,190.4,81.02,5701,121.8,112.3,15,0,26.48,3.91,17.93,0.803,2.206,-1,0,-0.8,-0.9,100,0
78,3.66,16.46,12.33,104.9,190.4,82.21,5370,133.4,130.5,15,0,26.11,3.91,16.32,0.803,2.491,-1,0,-0.8,-1.2,100,0
86,6.41,15.43,17.07,104.9,190.2,82.12,5068,145.2,150.5,15,0,18.1,3.91,15.43,1.097,3,-1,0,-0.8,-3.1,83.46,0
94,8.64,14.99,19.3,104.9,190.2,82.06,4785,152.3,167.2,15,0,14.78,3.91,14.85,1.097,3,-1,-1.56,-0.8,-5.7,83.18,0
100,11.32,14.7,19.3,104.9,190.2,82.06,4535,157.1,181.9,15,0,10.89,3.91,14.55,1.375,3,-1,-2.34,-0.8,-10.4,85.66,0
100,13.63,14.55,21,104.9,190.2,82.06,4410,158.2,188.4,15,0,9.79,3.91,14.55,1.375,3,-1,0,-0.8,-16.2,80.65,0
100,15.35,14.26,21,105.1,190.2,82.06,4538,163.3,189,3,0,8.01,3.91,14.26,1.635,3,-1,0,0.2,-23.6,79.31,0
100,16.21,13.82,21.11,105.1,190.2,82.06,4526,160.6,186.3,3,0,7.76,3.91,13.96,1.635,2.997,-1,0,4.8,-28.9,81.07,0
100,17.13,13.67,21.11,105.1,190.2,82.06,4540,157.4,182,3,0.2,7.17,3.91,13.67,1.773,2.998,-1,1.56,7.8,-31.2,81.05,0
100,17.56,13.67,22.09,105.1,190,82.05,4594,158.7,181.4,3,0.2,7.23,3.91,13.52,1.806,2.998,-1,1.56,11.2,-30.9,80.82,0
100,17.97,13.52,22.09,105.1,190,82.05,4614,160.7,183,3,0.4,7.44,3.91,13.52,1.806,2.998,-1,2.34,11.9,-30.3,79.93,0
100,18.18,13.23,22.84,105.3,190,82.11,4648,162.2,183.3,3,0.4,7.72,3.91,13.23,1.846,2.998,-1,2.34,11.8,-29.6,80.4,0
100,18.26,13.08,22.84,105.3,190,82.11,4666,162.7,183.1,3,0.6,7.74,3.91,13.08,1.846,2.998,-1,3.12,11.4,-29.3,81.21,0
100,18.27,12.79,23.06,105.4,190,82.11,4696,163.8,183.2,3,0.6,7.98,3.91,12.79,1.846,2.998,-1,3.12,10.9,-29,80.76,0
100,18.28,12.64,23.26,105.4,190,82.11,4730,165,183.1,3,0.8,8.03,3.91,12.64,1.846,2.998,-1,3.91,10.6,-28.8,81.5,0
100,18.26,12.49,23.26,105.4,190,82.05,4738,164.9,182.8,3,0.8,8.26,3.91,12.49,1.841,2.998,-1,3.91,10.2,-28.6,81.45,0
100,18.23,12.49,23.38,105.4,190,82.05,4765,166,182.9,3,1,8.26,3.91,12.35,1.841,2.998,-1,4.69,9.9,-28.2,81.71,0
100,18.19,12.35,23.38,105.4,189.9,82.05,4811,167.1,182.4,3,1.2,8.53,3.91,12.35,1.829,2.998,-1,3.91,9.8,-28.1,82.12,0
100,18.08,12.35,23.46,105.4,189.9,82.05,4836,167.5,181.9,3,1.2,8.56,3.91,12.35,1.829,2.998,-1,4.69,9.4,-27.9,82.72,0
100,18.05,12.2,23.46,105.6,189.9,82.03,4861,167.7,181.2,3,1.2,8.81,3.91,12.2,1.824,2.998,-1,4.69,8.8,-27.5,83.64,0
100,18,12.2,23.63,105.6,189.9,82.03,4885,167.4,180,3,1.4,8.84,3.91,12.2,1.813,2.998,-1,4.69,8.7,-27.1,83.09,0
100,17.91,12.2,23.63,105.6,189.9,82.03,4901,167.8,179.8,3,1.4,9.11,3.91,12.2,1.813,2.998,-1,4.69,8.3,-27,84.09,0
100,17.86,12.2,23.79,105.6,189.9,82.03,4920,168,179.3,3,1.6,9.13,3.91,12.2,1.807,2.998,-1,4.69,7.9,-26.6,84.73,0
100,17.78,12.2,23.83,105.6,189.9,82.03,4956,168.7,178.7,3,1.6,9.18,3.91,12.2,1.807,2.998,-1,4.69,7.2,-26.5,85.16,0
100,17.69,12.05,23.83,105.6,189.7,82.02,4981,169,178.2,3,1.8,9.43,3.91,12.05,1.799,2.998,-1,4.69,6.3,-26.2,85.57,0
100,17.59,12.05,24.44,105.6,189.7,82.02,5016,171.9,180,3,1.8,9.49,3.91,12.05,1.799,3,-1,4.69,0,-25.9,86,0
100,17.53,12.05,24.44,106,189.7,82.02,5025,171.9,179.7,3,2,9.67,3.91,12.05,1.82,3,-1,4.69,-0.6,-25.8,87.78,0
100,17.49,11.91,24.62,106,189.7,82.02,5059,172,178.5,3,2,9.7,3.91,11.91,1.82,3,-1,3.91,-0.6,-25.8,88.69,0
100,17.35,11.91,24.62,106,189.7,82.02,5091,171.4,176.8,3,2.2,9.93,3.91,11.91,1.818,3,-1,3.91,-0.6,-25.4,89.32,0
100,17.22,11.91,24.6,106,189.7,82.08,5119,171.5,176,3,2.2,9.96,3.91,11.91,1.801,3,-1,3.12,-0.5,-25.1,91.2,0
100,17.12,11.91,24.6,106,189.7,82.03,5122,170.7,175,3,2.4,10.23,3.91,11.91,1.801,3,-1,3.12,-0.6,-24.8,91.73,0
100,16.98,11.91,24.64,106,189.5,82.03,5154,171,174.3,3,2.4,10.52,3.91,11.91,1.785,3,-1,3.12,-0.6,-24.4,91.3,0
100,16.85,12.05,24.64,106,189.5,82.03,5188,171.7,173.8,3,2.4,10.88,3.91,11.91,1.785,3,-1,3.12,-0.6,-24.2,92.34,0
100,16.77,12.05,24.56,106.2,189.5,82.03,5208,171.9,173.4,3,2.6,10.98,3.91,12.05,1.772,3,-1,3.12,-0.5,-24.1,93.22,0
100,16.6,12.05,24.62,106.2,189.5,82.02,5240,172.2,172.6,3,2.6,11.36,3.91,12.05,1.772,3,-1,3.12,-0.6,-23.8,93.71,0
100,16.48,12.05,24.62,106.2,189.5,82.02,5265,172.9,172.5,3,2.8,11.54,3.91,12.05,1.756,3,-1,3.12,-0.6,-23.6,94.08,0
100,16.4,11.91,24.73,106.2,189.5,82.02,5273,173.1,172.4,3,2.8,11.6,3.91,11.91,1.756,3,-1,3.12,-0.4,-23.1,95.84,0
100,16.26,12.05,24.73,106.2,189.5,82.02,5291,173.4,172.1,3,3,11.89,3.91,12.05,1.744,3,-1,3.12,-0.6,-22.9,95.65,0
100,16.2,12.05,24.72,106.2,189.5,82.02,5321,174.5,172.2,3,3,11.93,3.91,12.05,1.744,3,-1,2.34,-0.6,-22.7,95.57,0
100,16.14,12.05,24.72,106.2,189.5,82.02,5359,174.7,171.3,3,2.99,12.01,3.91,12.05,1.736,3,-1,2.34,-0.6,-22.7,96.36,0
100,16.02,12.05,24.73,106.2,189.5,82.07,5374,175,171,3,2.91,12.12,3.91,12.05,1.722,3,-1,2.34,-0.6,-22.4,96.63,0
100,15.91,12.05,24.73,106.2,189.5,82.07,5415,176.1,170.7,3,2.91,12.28,3.91,12.05,1.722,3,-1,3.12,-0.7,-21.9,97.41,0
100,15.8,12.05,24.86,106.3,189.5,82.02,5423,175.7,170.2,3,2.81,12.32,3.91,12.05,1.714,3,-1,2.34,-0.7,-21.6,98.13,0
100,15.74,12.05,24.97,106.3,189.5,82.07,5453,175.9,169.4,3,2.81,12.39,3.91,12.05,1.714,3,-1,2.34,-0.6,-21.4,98.97,0
100,15.63,12.05,24.97,106.3,189.5,82.07,5461,176,169.3,3,2.71,12.45,3.91,12.05,1.705,3,-1,2.34,-0.6,-21.2,100,0
100,15.55,12.05,24.93,106.3,189.5,82.08,5505,177.2,169,3,2.71,12.5,3.91,11.91,1.705,3,-1,2.34,-0.8,-21,100,0
100,15.44,12.05,24.93,106.3,189.5,82.08,5516,176.7,168.2,3,2.63,12.57,3.91,12.05,1.696,3,-1,2.34,-0.6,-20.7,100,0
100,15.37,11.91,25.04,106.3,189.5,82.02,5532,177,168.1,3,2.63,12.63,3.91,11.91,1.696,3,-1,2.34,-0.8,-20.5,100,0
100,15.32,12.05,25.04,106.3,189.5,82.01,5552,177.4,167.9,3,2.56,12.68,3.91,12.05,1.687,3,-1,2.34,-0.7,-20.2,100,0
100,15.27,11.91,25.13,106.5,189.5,82.01,5578,177.9,167.6,3,2.56,12.71,3.91,12.05,1.684,3,-1,2.34,-0.8,-19.9,100,0
100,15.25,11.91,25.13,106.5,189.5,82.07,5601,177.8,166.7,3,2.47,12.75,3.91,11.91,1.684,3,-1,1.56,-0.7,-19.8,100,0
100,15.2,12.05,25.22,106.5,189.5,82.07,5622,178.1,166.3,3,2.47,12.82,3.91,12.05,1.677,3,-1,2.34,-0.7,-19.7,100,0
100,15.13,11.91,25.22,106.5,189.5,82.07,5655,178.7,166,3,2.42,12.92,3.91,11.91,1.677,3,-1,2.34,-0.9,-19.4,100,0
100,15.06,11.91,25.34,106.5,189.5,82.07,5673,178.8,165.5,3,2.34,12.96,3.91,11.91,1.672,3,-1,1.56,-0.8,-19.2,100,0
100,15.02,12.05,25.42,106.5,189.5,82.09,5713,179.4,165,3,2.34,13.05,3.91,12.05,1.672,3,-1,1.56,-0.8,-19,100,0
100,14.97,11.91,25.42,106.5,189.5,82.09,5733,179.7,164.6,3,2.26,13.08,3.91,11.91,1.664,3,-1,1.56,-0.8,-18.6,100,0
100,14.86,11.91,25.54,106.5,189.5,82.03,5714,179.1,164.6,3,2.26,13.15,3.91,11.91,1.664,3,-1,0.78,-0.9,-18.3,100,0
100,14.84,11.91,25.54,106.5,189.5,82.03,5749,180.2,164.6,3,2.17,13.16,3.91,11.91,1.657,3,-1,1.56,-0.8,-18.2,100,0
100,14.81,12.05,25.5,106.5,189.7,82.03,5778,180.1,163.7,3,2.17,13.22,3.91,12.05,1.657,3,-1,1.56,-0.8,-18.2,100,0
100,14.67,11.91,25.5,106.7,189.7,82.01,5791,180.4,163.6,3,2.08,13.29,3.91,11.91,1.653,3,-1,1.56,-0.8,-18.1,100,0
98,14.63,11.91,25.66,106.7,189.7,82.01,5822,180.8,163.1,3,2.02,13.34,3.91,11.91,1.645,3,-1,0.78,-0.9,-17.8,100,0
98,14.57,11.91,25.66,106.7,189.7,82.06,5840,181,162.8,3,2.02,13.46,3.91,11.91,1.645,3,-1,0.78,-0.9,-17.3,100,0
96,14.47,11.91,25.65,107.1,189.7,82.08,5860,181.2,162.4,3,2.02,13.54,3.91,11.91,1.635,3,-1,0.78,-0.8,-17.1,100,0
94,14.4,12.05,25.65,107.1,189.7,82.08,5889,181.5,161.9,3,1.92,13.57,3.91,12.05,1.635,3,-1,0.78,-0.8,-17.1,100,0
89,14.33,12.05,25.65,107.1,189.7,82.08,5908,181.9,161.7,3,1.81,13.67,3.91,12.05,1.626,2.028,-1,0.78,-0.8,-16.5,100,0
63,14.25,12.05,25.79,107.1,189.7,82.08,5922,182.1,161.5,3,1.81,13.69,3.91,12.05,1.626,1.019,-1,0.78,-0.9,-15.1,100,0
3,14.41,11.91,25.79,107.1,189.7,66.49,5932,177.1,156.8,3,1.71,-4.7,3.91,11.91,1.622,0.15,-1,0,-0.8,-12.7,97.07,0
0,11.25,11.76,14.36,107.1,189.7,27,5789,77.5,70.3,3,1.71,-3.51,3.91,11.91,1.622,0.36,-1,0,-0.8,-10.3,0,0
0,-4.65,11.02,14.36,107.2,189.9,5.45,5790,9.6,8.8,15,1.61,5.69,3.91,11.47,0.898,0.235,-1,-5.47,-0.8,-6.2,0,0
0,-7.55,11.61,4.69,107.2,189.9,8.51,5777,-2.3,-2.1,15,1.61,5.06,3.91,11.61,0.3,0.174,-1,-6.25,-0.9,-1.6,0,0
0,-9.41,13.08,4.69,107.2,189.9,6.96,5764,-9.1,-8.3,15,0,11.68,5.47,13.08,0.3,0.186,-1,-3.12,-0.9,-0.9,0,0
0,-10.48,13.82,2.69,107.2,189.9,6.57,5728,-7.9,-7.2,15,0,17.35,4.69,13.67,0.172,0.187,-1,0,-0.9,-0.9,0,0
0,-10.36,14.41,2.69,107.2,189.9,8.09,5648,-4.7,-4.4,15,0,16.45,4.69,14.26,0.172,0.18,-1,0,-0.9,-1.1,0,0
0,-10.15,24.25,3,107.4,189.9,8.35,5560,-3.8,-3.6,15,0,16.39,5.47,17.49,0.193,0.184,-1,0,-1,-0.9,0,0
0,-10.07,33.37,3.03,107.4,189.9,8.57,5479,-3.1,-3,15,0,14.73,5.47,28.67,0.193,0.187,-1,0,-1,-0.9,0,0
0,-9.97,35.87,3.03,107.2,189.9,8.86,5406,-2.8,-2.7,15,0,14.44,5.47,36.01,0.2,0.185,-1,0,-0.9,-0.9,0,0
0,-9.92,38.96,2.97,107.2,189.9,8.94,5328,-2.5,-2.4,15,0,14.3,5.47,39.4,0.2,0.185,-1,0,-0.8,-0.9,0,0
0,-9.91,40.42,2.97,107.2,189.9,8.95,5238,-2.2,-2.2,15,0,14.42,5.47,40.42,0.201,0.184,-1,0,-0.9,-0.6,0,0
0,-9.92,41.16,2.83,107.2,190,8.83,5170,-2.2,-2.2,15,0,14.69,5.47,41.16,0.201,0.184,-1,0,-0.9,-0.6,0,0
0,-9.9,41.6,2.83,107.2,190,8.79,5079,-2,-2.1,15,0,14.87,4.69,41.6,0.197,0.184,-1,0,-0.8,-0.8,0,0
0,-9.91,42.04,2.71,107.1,190,8.74,5012,-1.5,-1.5,15,0,15.16,4.69,41.89,0.194,0.185,-1,0,-0.8,-0.7,0,0
0,-9.92,42.19,2.71,107.1,190,8.67,4928,-1.6,-1.8,15,0,14.74,4.69,42.19,0.194,0.184,-1,0,-0.8,-0.7,0,0
0,-10.01,42.48,2.55,107.1,190,8.49,4861,-1.2,-1.3,15,0,14.99,4.69,42.48,0.188,0.182,-1,0,-0.8,-0.7,0,0
0,-10,42.48,2.43,107.1,190,8.44,4778,-1,-1.1,15,0,14.85,4.69,42.63,0.188,0.181,-1,0,-0.8,-0.6,0,0
0,-10.05,42.92,2.43,107.1,190,8.22,4710,-0.8,-0.9,15,0,14.69,3.91,42.92,0.184,0.18,-1,0,-0.7,-0.6,0,0
0,-10.06,42.92,2.35,107.1,190,8.22,4633,-0.5,-0.6,15,0,14.38,3.91,42.92,0.184,0.179,-1,0,-0.7,-0.7,0,0
0,-10.01,42.92,2.35,106.7,190.2,8.18,4525,-0.3,-0.4,15,0,13.64,3.91,43.07,0.183,0.175,-1,0,-0.8,-0.6,0,0
0,-10.02,43.22,2.26,106.7,190.2,7.96,4392,0,0,15,0,13.28,3.91,43.07,0.183,0.174,-1,0,-0.6,-0.6,0,0
0,-10.02,43.07,2.26,106.7,190.2,7.63,4393,0.1,0.1,15,0,13.37,3.91,43.22,0.181,0.178,-1,0,-0.8,-0.5,0,0
0,-10.12,43.22,2.09,106.7,190.2,7.51,4484,-0.1,-0.1,15,0,14.44,3.91,43.22,0.175,0.179,-1,0,-0.6,-0.7,0,0
0,-10.14,43.22,2.09,106.7,190.2,7.81,4443,-0.2,-0.1,15,0,14.11,3.12,43.22,0.175,0.177,-1,0,-0.6,-0.6,0,0
0,-10.11,43.22,2.14,106.7,190.2,7.79,4425,0.1,0.1,15,0,44.97,3.12,43.37,0.177,0.29,-1,0,-0.7,-0.5,0,0
15,-9.94,43.07,2.14,106.7,190.2,8.88,4478,11.5,13.4,15,0,44.97,3.12,43.51,0.177,0.703,-1,0,-0.6,-0.6,83.32,0
26,-8.19,41.75,4.1,106.7,190.2,17.82,4590,58.1,66.5,15,0,29.27,5.47,41.16,0.344,0.797,-1,0,-0.8,-0.6,59.86,0
30,-2.37,29.99,8.72,106.7,190.2,33.34,4490,82.8,96.9,15,0,27.42,5.47,28.52,0.344,0.794,-1,0,-0.6,-0.7,95.81,0
29,0.26,21.02,8.72,106.5,190.4,65.67,4441,86.6,102.4,4,0,26.77,3.91,21.32,0.717,0.733,-1,0,0.9,-0.7,62.39,0
24,1.9,17.35,8.33,106.5,190.4,52.58,4431,93.5,110.9,4,0,7.5,3.91,17.2,0.717,0.496,-1,0,2.9,-0.6,38.24,0
16,1.93,16.9,8.33,106.5,190.4,26.79,4408,70.3,83.7,4,0,-2.36,3.91,16.76,0.693,0.322,-1,0,4.3,-2.1,19.05,0
0,-2.19,16.17,5.65,106.5,190.4,11.6,4451,29.5,34.8,4,0,2.44,3.91,16.46,0.693,0.232,-1,0,0.6,-5.1,0,0
0,-6.02,15.88,5.65,106.5,190.4,7.22,4448,5,6,4,0,29.26,4.69,15.58,0.473,0.168,-1,-0.78,-0.6,-7.6,0,0
0,-8.73,15.43,2.48,106.5,190.4,6.19,4424,-1.4,-1.7,4,0,36.89,3.91,15.29,0.207,0.159,-1,-2.34,-0.8,-6.2,0,0
0,-10.06,15.43,2.48,106.5,190.4,5.52,4405,-1.8,-2.1,4,0,40.62,3.91,15.43,0.207,0.158,-1,0,-0.7,-1.8,0,0
